2025-01-12 21:21:23 DEBUG o.JavaPE.controller.PostController - Filter parameters - Title: null, Author: author1, Created Date: 2023-01-01, Last Modified Date: 2023-03-02
2025-01-12 21:21:23 DEBUG o.JavaPE.controller.PostController - Filter parameters - Title: null, Author: author1, Created Date: 2023-01-01, Last Modified Date: 2023-03-02
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 filtered posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 filtered posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 999 and role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 999 and role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: null
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: null
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch published posts. Role is missing.
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch published posts. Role is missing.
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: null
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: null
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch draft posts. Role is missing.
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch draft posts. Role is missing.
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 7
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 7
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched published post with ID: 7
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched published post with ID: 7
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch filtered posts with role: null
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch filtered posts with role: null
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch filtered posts. Role: null
2025-01-12 21:21:23 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch filtered posts. Role: null
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 999
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 999
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Post created successfully with ID: 8
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Post created successfully with ID: 8
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 9 and role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 9 and role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched post with ID: 9
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched post with ID: 9
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 published posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 published posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: editor
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 draft posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 draft posts
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 16
2025-01-12 21:21:23 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 16
2025-01-12 21:21:25 INFO  controller.PostControllerTest - Starting PostControllerTest using Java 21 with PID 30364 (started by thibe in C:\Users\thibe\Documents\Toegepaste informatica\FullstackJava\project-ThibeauNauwelaertsPXL\backend-java\post-service)
2025-01-12 21:21:25 INFO  controller.PostControllerTest - No active profile set, falling back to 1 default profile: "default"
2025-01-12 21:21:25 INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8080/
2025-01-12 21:21:25 INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-12 21:21:26 INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-12 21:21:26 INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2025-01-12 21:21:26 INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2025-01-12 21:21:26 INFO  controller.PostControllerTest - Started PostControllerTest in 1.005 seconds (process running for 46.387)
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: null
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: null
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch published posts. Role is missing.
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch published posts. Role is missing.
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 1 and role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 1 and role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published posts with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 published posts
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 published posts
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 draft posts
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched 2 draft posts
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: null
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch draft posts with role: null
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch draft posts. Role is missing.
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch draft posts. Role is missing.
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch published post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched published post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Successfully fetched published post with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 1 and role: null
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to fetch post with ID: 1 and role: null
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch post with ID: 1. Role is missing.
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to fetch post with ID: 1. Role is missing.
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: editor
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Post created successfully with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Post created successfully with ID: 1
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: viewer
2025-01-12 21:21:26 INFO  o.JavaPE.controller.PostController - Received request to create a post with role: viewer
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to create a post. Role: viewer
2025-01-12 21:21:26 WARN  o.JavaPE.controller.PostController - Unauthorized attempt to create a post. Role: viewer
2025-01-12 21:21:27 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6b6bae60 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cc9d9fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cb42edf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c3e5dea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a5f3e48 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@19384fcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2025-01-12 21:21:27 WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c75abd8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
